station_name,filename,station_id
Elsendorf-Horneck,elsendorf_horneck,7075
Falkenberg (Kr.Rottal-Inn),falkenberg_kr_rottal_inn,1332
Fürstenzell,fuerstenzell,5856
Gottfrieding,gottfrieding,7395
Grainet-Rehberg,grainet-rehberg,1735
Landshut,landshut,2831
Oberlindhart (Kr.Straubing),mallersdorf_pfaffenberg_oberlindhart,3147
Metten,metten,3271
Oberviechtach,oberviechtach,3739
Passau-Oberhaus,passau_oberhaus,3879
Prackenbach-Neuhäusl,prackenbach_neuhaeusel,7350
Saldenburg-Entschenreuth,saldenburg-entschenreuth,4354
Simbach/Inn,simbach_inn,4706
Straubing,straubing,4911
Zwiesel,zwiesel,5800